,Unnamed: 0,Mandatory FEMP Standby Power Requirement,Declared Standby Power,Product Category,Company Name - Brand Name,Model Name,Model Number,Additional Model Information,UNSPSC Code,ENAC Code,Wake on LAN (WOL) Status as Shipped (Workstations Only),Notes
0,0,Compliant,0 to 1 W,Computer - Integrated Thin Client,"LG Electronics, Inc. - LG",24CR6**W,24CR6**W-**,"24CR6**W*,24CR6**W*-**,The * may be 0-9, A-Z or blank according to color of stand or enclosure.",43211506,-,,
1,3,Compliant,0 to 1 W,Computer - Integrated Thin Client,"LG Electronics, Inc. - LG",27CQ6**W,27CQ6**W-**,",,*= 0-9, A-Z or blank",43211506,-,,
2,4,Compliant,0 to 1 W,Computer - Integrated Thin Client,"LG Electronics, Inc. - LG",24CQ6**W,24CQ6**W-**,",,* is may be any alphanumeric or blank according to the color of enclosure or enclosed speakers",43211506,-,,
3,5,Compliant,0 to 1 W,Computer - Integrated Thin Client,"LG Electronics, Inc. - LG",34CN650W,34CN650W-**,",,*= 0-9, A-Z or blank",43211506,-,,
4,6,Compliant,0 to 1 W,Computer - Integrated Thin Client,"LG Electronics, Inc. - LG",27CN650W,27CN650W-**,",,*= 0-9, A-Z or blank",43211506,-,,
5,7,Compliant,0 to 1 W,Computer - Integrated Thin Client,"LG Electronics, Inc. - LG",24CK5**W,24CK5**W-3,",,*= 0?9, A?Z or blank; 24CK5**N,24CK5**N-3,",43211506,-,,
6,9,Compliant,0 to 1 W,Computer - Mobile Workstation,Dell Inc. - DELL,P123F,Dell Precision 5680,,43211515,-,,
7,10,Compliant,0 to 1 W,Computer - Mobile Workstation,Dell Inc. - DELL,P114F,Precision 7680,,43211515,-,,
8,11,Compliant,0 to 1 W,Computer - Mobile Workstation,Dell Inc. - DELL,P115F,Precision 7780,,43211515,-,,
9,12,Compliant,0 to 1 W,Computer - Mobile Workstation,Dell Inc. - DELL,P154G,Precision 5480,,43211515,-,,
10,13,Compliant,0 to 1 W,Computer - Mobile Workstation,Dell Inc. - DELL,P114F,Precision 7670,,43211515,-,,
11,14,Compliant,0 to 1 W,Computer - Mobile Workstation,Dell Inc. - DELL,P115F,Precision 7770,,43211515,-,,
12,15,Compliant,0 to 1 W,Computer - Mobile Workstation,Dell Inc. - DELL,P34E,Precision 7740,,43211515,-,,
13,16,Compliant,0 to 1 W,Computer - Mobile Workstation,Dell Inc. - DELL,P44E,Precision 7750,,43211515,-,,
14,17,Compliant,0 to 1 W,Computer - Mobile Workstation,Dell Inc. - DELL,P93F,Precision 7550,,43211515,-,,
15,18,Compliant,0 to 1 W,Computer - Mobile Workstation,HP Inc. - HP,HP ZBook Fury 15 G7 ENERGY STAR,HP ZBook Fury 15 G7 Mobile Workstation,,43211515,-,,
16,19,Compliant,0 to 1 W,Computer - Mobile Workstation,HP Inc. - HP,HP ZBook Fury 17 G7 ENERGY STAR,HP ZBook Fury 17 G7 Mobile Workstation,,43211515,-,,
17,20,Compliant,0 to 1 W,Computer - Mobile Workstation,Dell Inc. - DELL,P56F,Precision 5530,",Dell Precision 5530,",43211515,-,,
18,21,Compliant,0 to 1 W,Computer - Mobile Workstation,Dell Inc. - DELL,P93F,Precision 7560,,43211515,-,,
19,22,Compliant,0 to 1 W,Computer - Mobile Workstation,HP Inc. - HP,HP ZBook Fury 15.6 Inch G8 ENERGY STAR,HP ZBook Fury 15.6 Inch G8 Mobile Workstation PC,,43211515,-,,
20,23,Compliant,0 to 1 W,Computer - Mobile Workstation,HP Inc. - HP,HP ZBook Fury 17.3 Inch G8 ENERGY STAR,HP ZBook Fury 17.3 Inch G8 Mobile Workstation PC,,43211515,-,,
21,24,Compliant,0 to 1 W,Computer - Portable All-In-One Computer,Mach Power Italy s.r.l - Mach Power,COMPUTER ALL IN ONE,"IT-AIO24I58512, IT-AIO24I58256, IT-AIO24I516512, IT-AIO24I5######, EB-AIO24I58256, EB-AIO24I58512, EB-AIOI516512, EB-AIO24I5######",",IT-AIO24I58256, IT-AIO24I516512, IT-AIO24I5######, EB-AIO24I58256, EB-AIO24I58512, EB-AIOI516512, EB-AIO24I5######,",43211500,-,,
22,25,Compliant,0 to 1 W,Computer - Portable All-In-One Computer,DT Research Inc. - DT Research,582T,582T,,43211500,-,,
